codiceFiscaleGestore,denominazioneGestore,PEC,codiceIPA,ANAC_incaricato,ANAC_in_convalida,ANAC_abilitato
11244750961,ACCENTURE FINANCIAL ADVANCED SOLUTIONS & TECHNOLOGY S.R.L.,accenturefast@legalmail.it,,true,false,false
01850570746,STUDIO AMICA SRL,info@pec.studioamica.it,,true,false,false
03553050927,DigitalPA s.r.l.,digitalpa@pec.it,,true,false,false
02362600344,Net4market - CSAmed S.r.l.,csamed@pec.csamed.it,,true,false,false
16425051006,BEELIVEIT SRL,BEELIVEIT@LEGALMAIL.IT,,true,false,false
91252510374,Intercent-er Agenzia Regionale per Lo Sviluppo Dei Mercati Telematici,peiintercenter@postacert.regione.emilia-romagna.it,iarls,true,false,false
06188330150,Maggioli S.p.A.,segreteria@maggioli.legalmail.it,,true,false,false
05359681003,CONSIP S.P.A A SOCIO UNICO,postaconsip@postacert.consip.it,CONSIPS,true,false,false
01722270665,ISWEB S.p.A.,internetsoluzioni@pec.aruba.it,,true,false,false
01386030488,REGIONE TOSCANA,regionetoscana@postacert.toscana.it,r_toscan,true,false,false
06837080727,InnovaPuglia SpA,affarigenerali.innovapuglia@pec.rupar.puglia.it,inpu,true,false,false
03014640274,Venicecom S.r.l.,venicecom@pec.it,,true,false,false
05017630152,AZIENDA REGIONALE PER L'INNOVAZIONE E GLI ACQUISTI S.P.A. - "ARIA S.P.A.",protocollo@pec.ariaspa.it,lispa,true,false,false
03393760719,L&G Solution s.r.l.,legsolutionsrl@pec.it,,true,false,false
04188420238,S.I.B. SAS di Pinamonte Ornella,INFO.SIB@PEC.IT,,true,false,false
02799520164,BravoSolution S.p.A.,bravosolutionpec@legalmail.it,,true,false,false
13662331001,Laziocrea Spa,laziocrea@legalmail.it,lspa,true,false,false
06485540485,ESTAR,estar@postacert.toscana.it,estar,true,false,false
