CODICE_IVASS;TIPO_ALBO;DATA_ISCRIZIONE_ALBO_ELENCO;DATA_CANCELLAZIONE_ALBO_ELENCO;DENOMINAZIONE_IMPRESA;CODICE_FISCALE;CLASSIFICAZIONE;INDIRIZZO_SEDE_LEGALE_RAPPRESENTANZA_IN_ITALIA;INDIRIZZO_DIREZIONE_GENERALE;INDIRIZZO_CASA_MADRE;TIPO_LAVORO;PEC
D975R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;02/12/2020;31/12/9999;ACCELERANT INSURANCE EUROPE SA/NV;16084711007;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA LEONIDA BISSOLATI, 54  00187 ROMA;;;DANNI;accelerantinsuranceeu@legalmail.it
D974R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/06/2020;31/12/9999;ACCREDITED INSURANCE (EUROPE) LTD;97905330151;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA DELLA MOSCOVA, 3  20121 MILANO;;;DANNI;accreditedinsurance-eu@legalmail.it
D969R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;19/07/2019;31/12/9999;ADRIATIC OSIGURANJE D.D.;90156860323;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO ITALIA 31 (34122 )        TRIESTE;;;DANNI;ADRIATIC@PEC.ADRIATIC-ASSICURAZIONI.IT
D906R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;07/06/2012;31/12/9999;AFI ESCA;97601900158;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITTOR PISANI,5  20124 MILANO;;;VITA;AFI-ESCA@LEGALMAIL.IT
D903R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;14/02/2012;31/12/9999;AFI ESCA IARD;07906760967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITTOR PISANI, 5  20124 MILANO;;;DANNI;AFI-ESCA-IARD@LEGALMAIL.IT
D947R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;23/02/2018;31/12/9999;AIG EUROPE S.A.;97819940152;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA VETRA 17  20123 MILANO;;;DANNI;SERVIZIO.RECLAMI@AIGEUROPE.POSTECERT.IT
D959R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;22/01/2019;31/12/9999;AIOI NISSAY DOWA INSURANCE COMPANY OF EUROPE SE;97477510586;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA KIICIRO TOYODA 2  00148 ROMA;;;DANNI;aioinissaydowa-amministrazione@legalmail.it
D981R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;28/09/2023;31/12/9999;ALLIANZ DIRECT VERSICHERUNGS-AG;;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA TRE TORRI, 3  20145 MILANO;;;DANNI;
D875R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;17/07/2008;31/12/9999;ALLIANZ GLOBAL CORPORATE & SPECIALTY SE;06385250961;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA TRE TORRI 3  20145 MILANO;;;DANNI;AGCS@PEC.ALLIANZ.IT
D878R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;28/11/2008;31/12/9999;ALLIANZ GLOBAL LIFE DAC;01155610320;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO UGO IRNERI, 1  34123 TRIESTE;;;VITA;ANTIRICICLAGGIO.ALLIANZ@LEGALMAIL.IT
D956R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;08/01/2019;31/12/9999;ALLIANZ LEBENSVERSICHERUNGS-AG;01320560327;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO UGO IRNERI, 1  34123 TRIESTE;;;VITA;allianz_lebenversicherungs@legalmail.it
D933R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;23/02/2016;31/12/9999;AMTRUST INTERNATIONAL UNDERWRITERS DAC;09477630967;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CLERICI,14  20121 MILANO;;;DANNI;AMTRUSTSUCCURSALEITALIA@LEGALMAIL.IT
D909R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;20/08/2012;31/12/9999;ARAG SE RAPPRESENTANZA GENERALE E DIREZIONE PER L'ITALIA;93238290238;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE DEL COMMERCIO, 59  37135 VERONA;;;DANNI;GOVERNANCE@PEC.ARAG.IT
D965R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;25/03/2019;31/12/9999;ARCH INSURANCE (EU) DAC;10737850965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA DELLA POSTA 7  20123 MILANO;;;DANNI;ARCHINSURANCEEUDAC@LEGALMAIL.IT
D940R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;25/01/2017;31/12/9999;ASISA, ASISTENCIA SANITARIA INTERPROVINCIAL DE SEGUROS, S.A. SOCIEDAD;09814820966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MONTI, 42  20123 MILANO;;;DANNI;ASISAASISTENCIASANITARIA@LEGALMAIL.IT
D937R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;05/08/2016;31/12/9999;ATRADIUS CRÉDITO Y CAUCIÓN S.A. DE SEGUROS Y REASEGUROS;13993401002;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CRESCENZIO, 12  00193 ROMA;;;DANNI;COMUNICAZIONIIVASS.ATRADIUS@PEC.IT
D972R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;26/02/2020;31/12/9999;AVIVA LIFE & PENSIONS IRELAND DESIGNATED ACTIVITY COMPANY;11224780962;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SCARSELLINI 14  20161 MILANO;;ONE PARK PLACE, HATCH STREET, DUBLIN 2 IRELAND  DUBLINO IRLANDA;VITA;alpi_italia@legalmail.it
D891R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;22/10/2010;31/12/9999;AWP P&C S.A.;07235560963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE BRENTA 32  20139 MILANO;;;DANNI;AWP.PC@LEGALMAIL.IT
D949R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;23/07/2018;31/12/9999;AXA FRANCE IARD;10345000961;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17   20154 MILANO;;;DANNI;AXAFRANCEIARD@LEGALMAIL.IT
D950R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;23/07/2018;31/12/9999;AXA FRANCE VIE;08875230016;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17  20154 MILANO;;;PICCOLO CUMULO;AXAFRANCEVIE@LEGALMAIL.IT
D870R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;AXA LIFE EUROPE DAC;97449040159;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO COMO 17  20154 MILANO;;;VITA;AXALIFEEUROPESS@AXA.LEGALMAIL.IT
D847R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;AZIMUT LIFE DAC;04316120965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CUSANI, 4  20121 MILANO;;;VITA;AZLIFE@LEGALMAIL.IT
D964R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;15/03/2019;31/12/9999;BERKSHIRE HATHAWAY EUROPEAN INSURANCE DAC;10799540967;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO ITALIA, 13   20122 MILANO;;;DANNI;BHEI-ITALIA@LEGALMAIL.IT
D882R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;18/01/2010;31/12/9999;CACI LIFE DAC;07111890963;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA CAVOUR, 2  20121 MILANO;;;VITA;CACILIFE@LEGALMAIL.IT
D883R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;18/01/2010;31/12/9999;CACI NON LIFE DAC;07111900960;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA CAVOUR, 2  20121 MILANO;;;DANNI;CACINONLIFE@LEGALMAIL.IT
C331R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CARDIF ASSURANCE VIE S.A.;08916510152;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA BO BARDI, 3  20124 MILANO;;;VITA;CARDIFVIE@PEC.CARDIF.IT
C332R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CARDIF ASSURANCES RISQUES DIVERS S.A.;08916500153;IMPRESA SEE CHE OPERA IN STABILIMENTO;PIAZZA BO BARDI,3  20124 MILANO;;;DANNI;CARDIFRD@PEC.CARDIF.IT
D835R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CG CAR-GARANTIE VERSICHERUNGS-AKTIENGESELLSCHAFT;03263290235;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA G. MARCONI, 2  37029 SAN PIETRO IN CARIANO;;;DANNI;CARGARANTIE-AG@PEC-MAIL.IT
D912R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;21/11/2012;31/12/9999;CGPA EUROPE S.A.;12140021002;IMPRESA SEE CHE OPERA IN STABILIMENTO;LARGO CASTELLO, 28  44121 FERRARA;;;DANNI;SINISTRICGPA@PEC.IT
D957R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;11/01/2019;31/12/9999;CHUBB EUROPEAN GROUP SE;04124720964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FABIO FILZI 29  20124 MILANO;;;DANNI;ITALY@PEC.CHUBB.COM
D958R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;11/01/2019;31/12/9999;CHUBB LIFE EUROPE SE, RAPPRESENTANZA GENERALE PER L’ITALIA;05916740961;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FABIO FILZI 29  20124 MILANO;;;PICCOLO CUMULO;life.italy@pec.chubb.com
D812R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CIGNA LIFE INSURANCE COMPANY OF EUROPE S.A.;04104721008;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SANTA MARIA VALLE 3  20123 MILANO;;;PICCOLO CUMULO;04104721008RI@LEGALMAIL.IT
D955R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;23/11/2018;31/12/9999;CNA INSURANCE COMPANY (EUROPE) S.A.;10540890968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ALBRICCI, 8  20122 MILANO;;;DANNI;CNA.CICE@LEGALMAIL.IT
D845R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CNP ASSURANCES S.A.;04341440966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BOCCHETTO, 6  20123 MILANO;;;PICCOLO CUMULO;CNP@PEC.CNPITALIA.IT
D928R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;17/09/2015;31/12/9999;CNP CAUTION S.A.;09244420965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BOCCHETTO, 6  20123 MILANO;;;DANNI;CNPCAUTION@PEC.CNPCAUTION.IT
D897R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;25/08/2011;31/12/9999;CNP SANTANDER INSURANCE EUROPE DESIGNATED ACTIVITY COMPANY;10582050018;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO MASSIMO D'AZEGLIO 33/E  10126 TORINO;;;DANNI;SANTANDER-INSURANCEEUROPE@LEGALMAIL.IT
D898R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;25/08/2011;31/12/9999;CNP SANTANDER INSURANCE LIFE DESIGNATED ACTIVITY COMPANY;10582090014;IMPRESA SEE CHE OPERA IN STABILIMENTO;CORSO MASSIMO D'AZEGLIO 33/E  10126 TORINO;;;VITA;santander-insurancelife@legalmail.it
D908R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;27/07/2012;31/12/9999;COMPAGNIE FRANÇAISE D'ASSURANCE POUR LE COMMERCE EXTÉRIEUR S.A. (COFACE);09448210154;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA LORENTEGGIO, 240  20147 MILANO;;;DANNI;COFACE@PEC.COFACE.IT
D916R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;30/07/2013;31/12/9999;CREDENDO - SHORT-TERM NON-EU RISKS SA;08378740966;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITRUVIO, 38  20124 MILANO;;;DANNI;TRADECREDIT@LEGALMAIL.IT
D856R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;CREDENDO – GUARANTEES & SPECIALITY RISKS;03262690161;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA VITRUVIO,38  24124 MILANO;;;DANNI;CREDENDO@LEGALMAIL.IT
D977R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;12/03/2021;31/12/9999;DARAG DEUTSCHLAND AG;;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE ISONZO, 25  20135 MILANO;;HERMANNSTRASSE, 15 EUROPA - PASSAGE (20095)  AMBURGO GERMANIA;DANNI;darag@legalmail.it
D970R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;04/09/2019;31/12/9999;DOMESTIC & GENERAL INSURANCE EUROPE AG;10909710963;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA GOBETTI, 2/C - CERNUSCO SUL NAVIGLIO  20063 MILANO;;;DANNI;DOMESTICGENERALINSURANCE_ITALIA@PEC.IT
D932R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;04/12/2015;31/12/9999;ELIPS LIFE LTD;13733431004;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA SAN PROSPERO,1  20121 MILANO;;;PICCOLO CUMULO;ELIPSLIFE@PEC.ELIPSLIFE.COM
D871R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;ERGO REISEVERSICHERUNG AG;05856020960;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA POLA 9  20124 MILANO;;;DANNI;ERV-ITALIA@LEGALMAIL.IT
D900R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/10/2011;31/12/9999;EULER HERMES SA/NV;11584211004;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA RAFFAELLO MATARAZZO, 19  00139 ROMA;;;DANNI;EULERHERMES@PEC.EULERHERMES.IT
D943R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;04/07/2017;31/12/9999;FM INSURANCE EUROPE S.A.;10010560968;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA MIKE BUONGIORNO 13  20124 MILANO;;;DANNI;FMINSURANCEEUROPESA@LEGALMAIL.IT
D864R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;FWU LIFE INSURANCE LUX S.A.;94093500216;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA ROBERTO LEPETIT, 8/10  20124 MILANO;;;VITA;FWULIFE@LEGALMAIL.IT
D980R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;16/08/2022;31/12/9999;GAMALIFE COMPANHIA DE SEGUROS DE VIDA, SA;12582180969;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA BENIGNO CRESPI, 23  20159 MILANO;;;VITA;gamalife@pec.it
D978R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;30/08/2021;31/12/9999;GARTENBAU VERSICHERUNG VVAG;;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIALE DEL COMMERCIO, 47  37135 VERONA;;VON FRERICHS STRASSE 8 - 65191  WIESBADEN GERMANIA;DANNI;gartenbau_hortisecur@pec.it
D894R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;15/03/2011;31/12/9999;GREAT LAKES INSURANCE SE;07350040965;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA CALDERA, 21  20153 MILANO;;;DANNI;07350040965RI@LEGALMAIL.IT
D915R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;24/01/2013;31/12/9999;HARMONIE MUTUELLE;08186860964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA PAPA LEONE XIII, 14  20154 MILANO;;;PICCOLO CUMULO;HARMONIEMUTUELLE@LEGALMAIL.IT
C218R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;03/01/2008;31/12/9999;HDI GLOBAL SE;03295070159;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCO RUSSOLI, 5  20143 MILANO;;;DANNI;HDI.GLOBAL@LEGALMAIL.IT
D924R;Elenco I - imprese di assicurazione con sede legale in un altro Stato membro ammesse ad operare in Italia in regime di stabilimento;10/03/2015;31/12/9999;HDI GLOBAL SPECIALTY SE;05396540964;IMPRESA SEE CHE OPERA IN STABILIMENTO;VIA FRANCO RUSSOLI 5  20143 MILANO;;;DANNI;05396540964RI@LEGALMAIL.IT
